"","tree","year","dbh"
"1356","VUF147",1936,NA
"1357","VUF148",1936,NA
"1358","VUF149",1936,18.421
"1359","VUF150",1936,NA
"1360","VUF151",1936,NA
"1361","VUF208",1936,NA
"1362","VUF209",1936,4.46
"1363","VUF219",1936,NA
"1364","VUF222",1936,NA
"1365","VUF229",1936,NA
"1366","VUF235",1936,NA
"1367","VUF242",1936,NA
"1368","VUF308",1936,NA
"1369","VUF322",1936,NA
"1370","VUF335",1936,NA
"1371","VUF435",1936,NA
"1372","VUF508",1936,13.871
"1373","VUF001",1937,25.276
"1374","VUF002",1937,21.293
"1375","VUF003",1937,18.0915
"1376","VUF004",1937,NA
"1377","VUF005",1937,15.051
"1378","VUF006",1937,9.8415
"1379","VUF007",1937,NA
"1380","VUF008",1937,NA
"1381","VUF009",1937,4.707
"1382","VUF010",1937,NA
"1383","VUF011",1937,17.091
"1384","VUF012",1937,NA
"1385","VUF013",1937,NA
"1386","VUF015",1937,NA
"1387","VUF016",1937,NA
"1388","VUF017",1937,34.808
"1389","VUF018",1937,10.4465
"1390","VUF019",1937,NA
"1391","VUF020",1937,8.5405
"1392","VUF021",1937,17.656
"1393","VUF022",1937,NA
"1394","VUF023",1937,21.5175
"1395","VUF024",1937,23.191
"1396","VUF025",1937,NA
"1397","VUF026",1937,NA
"1398","VUF027",1937,NA
"1399","VUF028",1937,NA
"1400","VUF029",1937,NA
"1401","VUF030",1937,NA
"1402","VUF031",1937,NA
"1403","VUF032",1937,NA
"1404","VUF034",1937,10.287
"1405","VUF036",1937,NA
"1406","VUF037",1937,9.89
"1407","VUF038",1937,NA
"1408","VUF039",1937,29.882
"1409","VUF040",1937,30.415
"1410","VUF041",1937,NA
"1411","VUF042",1937,26.315
"1412","VUF044",1937,13.012
"1413","VUF045",1937,14.953
"1414","VUF047",1937,NA
"1415","VUF048",1937,NA
"1416","VUF049",1937,NA
"1417","VUF050",1937,NA
"1418","VUF101",1937,NA
"1419","VUF102",1937,12.165
"1420","VUF104",1937,9.8025
"1421","VUF105",1937,8.412
"1422","VUF106",1937,8.3475
"1423","VUF107",1937,14.386
"1424","VUF108",1937,14.152
"1425","VUF109",1937,NA
"1426","VUF110",1937,16.4335
"1427","VUF111",1937,14.673
"1428","VUF112",1937,13.419
"1429","VUF114",1937,NA
"1430","VUF115",1937,9.526
"1431","VUF116",1937,NA
"1432","VUF117",1937,NA
"1433","VUF118",1937,NA
"1434","VUF119",1937,4.892
"1435","VUF120",1937,NA
"1436","VUF122",1937,NA
"1437","VUF125",1937,NA
"1438","VUF128",1937,NA
"1439","VUF129",1937,12.379
"1440","VUF130",1937,NA
"1441","VUF131",1937,NA
"1442","VUF132",1937,NA
"1443","VUF133",1937,18.561
"1444","VUF135",1937,NA
"1445","VUF136",1937,6.697
"1446","VUF137",1937,21.923
"1447","VUF139",1937,21.153
"1448","VUF140",1937,NA
"1449","VUF142",1937,NA
"1450","VUF143",1937,10.611
"1451","VUF144",1937,22.6505
"1452","VUF145",1937,NA
"1453","VUF146",1937,NA
"1454","VUF147",1937,NA
"1455","VUF148",1937,13.127
"1456","VUF149",1937,18.835
"1457","VUF150",1937,NA
"1458","VUF151",1937,NA
"1459","VUF208",1937,NA
"1460","VUF209",1937,4.707
"1461","VUF219",1937,NA
"1462","VUF222",1937,NA
"1463","VUF229",1937,12.379
"1464","VUF235",1937,NA
"1465","VUF242",1937,NA
"1466","VUF308",1937,NA
"1467","VUF322",1937,NA
"1468","VUF335",1937,NA
"1469","VUF435",1937,NA
"1470","VUF508",1937,14.152
"1471","VUF001",1938,25.7055
"1472","VUF002",1938,21.5895
"1473","VUF003",1938,18.3985
"1474","VUF004",1938,NA
"1475","VUF005",1938,15.275
"1476","VUF006",1938,10.0555
"1477","VUF007",1938,NA
"1478","VUF008",1938,NA
"1479","VUF009",1938,4.9875
